"County","Sector","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","Total Usage"
"ALAMEDA","Residential","    3064.781376","    2945.804917","    2991.794416","    2917.342741","    2893.676837","    2891.232325","    2984.213677","    2998.246885","    3023.830340","    3021.008265","    3016.259087","    2996.061668","    2971.652195","    3118.114844","    3025.149538","    2897.764371","    2937.070283","    2811.610305","    2745.201964","    2926.106226","    2890.765488","    2791.331196","    2674.834394","    2615.308775","    2548.457958","    2774.566317","    2529.229286","    2465.000074","    2515.209970","    2498.265626","   85479.891344"
"ALPINE","Residential","      10.131788","       9.420910","       9.951697","       9.290913","      11.855504","      11.974975","      13.424431","       9.298178","       9.093424","      12.451971","      13.029405","       8.899778","       9.326645","       9.537211","       8.090874","       8.996372","       6.352394","       6.720953","       6.858448","       6.247035","       6.597345","       6.792005","       6.373298","       6.063832","       6.231561","       6.183168","       6.812776","       5.808735","       6.165242","       6.036978","     254.017846"
"AMADOR","Residential","     140.689119","     136.895373","     143.509418","     135.516470","     132.791638","     134.744387","     139.472718","     141.054038","     140.216069","     139.890453","     142.896522","     144.103067","     142.609434","     142.536257","     134.397976","     135.642740","     129.159655","     126.436871","     121.403464","     127.238094","     124.602037","     123.223191","     114.815322","     115.017917","     110.744724","     110.372675","     109.035503","     105.907059","     108.875556","     105.093388","    3858.891135"
"BUTTE","Residential","     669.328499","     717.743260","     760.229021","     721.205754","     712.388497","     718.947064","     729.845116","     738.780910","     725.656559","     718.735943","     731.353210","     723.830546","     714.856899","     708.370307","     685.815290","     689.675374","     658.653550","     638.649397","     604.695799","     705.766172","     629.147565","     616.781540","     597.449897","     594.667475","     559.101202","     556.276390","     551.043168","     555.149304","     553.073852","     547.901570","   19835.119130"
"CALAVERAS","Residential","     205.365353","     201.833277","     214.306906","     197.961265","     191.155224","     192.543967","     199.732952","     201.495546","     200.495354","     197.983760","     201.979922","     200.669688","     199.915466","     195.003642","     187.913940","     189.230418","     177.238243","     175.348867","     168.843345","     173.578409","     170.901166","     167.369797","     157.714415","     153.829455","     148.585115","     146.123388","     145.291775","     140.066797","     143.201069","     138.299372","    5383.977893"
"COLUSA","Residential","      67.633093","      65.118218","      68.094527","      64.507307","      64.133314","      64.722845","      64.770037","      65.641094","      64.365759","      63.400659","      65.571365","      64.229595","      64.174329","      64.984232","      63.463197","      59.630395","      58.221056","      54.712737","      53.398152","      56.692548","      54.987594","      54.668412","      54.037338","      53.461666","      50.557113","      50.078667","      49.733609","      50.535778","      50.731018","      50.598114","    1776.853768"
"CONTRA COSTA","Residential","    2934.141948","    2802.510934","    2885.719383","    2752.033880","    2730.006314","    2731.309642","    2765.959761","    2767.558456","    2750.847487","    2733.437190","    2787.816964","    2785.188571","    2738.380846","    2745.204011","    2661.732269","    2649.689498","    2539.933261","    2484.671228","    2371.221596","    2636.955361","    2494.716628","    2447.728133","    2341.159681","    2316.045847","    2177.154476","    2137.669934","    2167.951542","    2094.083360","    2073.815256","    2074.798616","   76579.442073"
"DEL NORTE","Residential","     117.160978","     114.221353","     122.777146","     112.339303","     116.131782","     110.109643","     126.533004","     127.752553","     132.186078","     133.518388","     132.958141","     136.508596","     133.579670","     127.833022","     122.831577","     121.909010","     121.608702","     117.067626","     114.904332","     113.613677","     112.136921","     110.065812","     107.696817","     139.830574","     106.566610","     110.776041","     116.229421","     106.383258","     104.812778","      90.982237","    3561.025050"
"EL DORADO","Residential","     767.401080","     745.355819","     775.815183","     750.163604","     720.944651","     721.053363","     756.189231","     764.653388","     762.542842","     763.164377","     769.955199","     771.294737","     760.414893","     759.990804","     731.837794","     723.204229","     689.442079","     665.898217","     635.349995","     659.090595","     645.347826","     634.835862","     591.638586","     576.954082","     558.651068","     548.553618","     550.149822","     529.892679","     539.328355","     524.585004","   20393.698982"
"FRESNO","Residential","    2796.305742","    2726.357511","    2775.390144","    2643.411511","    2655.810295","    2692.471908","    2687.651100","    2704.692954","    2589.907104","    2545.434294","    2615.173548","    2550.992882","    2522.010894","    2489.857600","    2376.999918","    2351.231518","    2299.209567","    2157.135658","    2082.557980","    2280.805890","    2109.265235","    2053.582810","    2033.819526","    2015.179260","    1895.082375","    1874.339769","    1832.378756","    1865.168616","    1840.839026","    1785.877540","   69848.940931"
"GLENN","Residential","      96.828073","      92.096943","      95.629884","      90.691671","      90.110176","      91.392872","      92.806720","      93.675018","      91.818337","      91.069867","      93.510276","      92.071723","      90.989488","      91.680584","      89.316370","      87.457434","      85.005914","      83.135757","      79.871643","      85.039992","      84.031922","      82.054330","      80.814743","      81.231995","      77.634517","      77.620997","      76.907618","      78.464810","      79.317239","      78.498601","    2600.775514"
"HUMBOLDT","Residential","     368.372080","     371.939616","     396.017892","     398.940611","     390.005025","     395.915896","     441.833830","     465.727480","     476.234610","     478.859617","     461.947621","     440.223551","     416.777097","     380.882880","     359.018784","     337.922360","     315.452239","     308.806379","     296.904247","     310.706164","     310.967603","     294.940346","     287.670931","     279.051340","     282.061741","     273.032342","     278.614872","     269.871863","     277.481786","     276.637302","   10642.818105"
"IMPERIAL","Residential","     575.201252","     636.271713","     627.716680","     544.540489","     534.110851","     536.118501","     530.486395","     539.419827","     513.962429","     497.948453","     514.217101","     502.316127","     522.128125","     527.442756","     486.203616","     478.098302","     476.965254","     445.546523","     464.963026","     370.534379","     403.588289","     367.229676","     350.996039","     330.261908","     304.076615","     310.161299","      67.399539","      67.375904","      77.573168","     136.984365","   12739.838601"
"INYO","Residential","      58.876761","      58.159198","      58.829985","      62.541908","      57.033989","      60.788615","      60.135328","      60.787463","      57.616488","      57.596003","      58.208805","      54.826240","      56.782707","      52.922574","      56.394791","      57.014640","      49.434791","      49.333667","      48.276775","      50.570005","      33.414984","      33.776659","      32.764011","      32.911372","      31.733539","      32.704783","      32.482845","      32.188117","      32.581660","      32.221356","    1452.910059"
"KERN","Residential","    2341.447042","    2339.481264","    2329.682749","    2245.168424","    2247.957532","    2294.846631","    2269.736309","    2274.029024","    2141.107514","    2095.448973","    2171.316148","    2146.883253","    2091.541570","    2052.662008","    1972.968734","    1865.524074","    1831.969640","    1677.585077","    1635.050195","    1714.094847","    1610.440440","    1558.224025","    1551.094451","    1546.441563","    1450.188794","    1452.922764","    1422.316371","    1459.067510","    1431.212946","    1377.497276","   56597.907148"
"KINGS","Residential","     379.024862","     373.808497","     378.598197","     363.749226","     366.854066","     376.278996","     371.162072","     368.995723","     354.516431","     348.675310","     364.876777","     358.864631","     346.762770","     355.529300","     330.179973","     326.264427","     313.893397","     291.759409","     283.642465","     291.393185","     273.951361","     265.431352","     265.212348","     261.264399","     243.132359","     241.366747","     232.703312","     233.932851","     231.619948","     224.178059","    9417.622450"
"LAKE","Residential","     286.081982","     279.501151","     295.119126","     282.108453","     276.024932","     285.277351","     302.323175","     302.174953","     298.254956","     294.395146","     289.270152","     284.691332","     275.090388","     269.109576","     259.112988","     256.933198","     243.766015","     244.737204","     237.513724","     243.295839","     243.110347","     238.969509","     221.693369","     226.495337","     215.371804","     220.759978","     222.324330","     215.200739","     222.194828","     215.462829","    7746.364711"
"LASSEN","Residential","     102.396546","     100.843453","     102.396497","      99.858072","      95.061273","      94.366525","     104.522248","     102.337641","     103.700947","     104.852577","     106.515246","     107.040965","     104.115047","     106.148183","     105.257887","     102.440584","      99.290481","      97.276737","      94.630059","     103.681384","     102.022026","     101.049643","      97.219052","      95.941076","      94.504263","      95.123652","      75.845378","      71.091236","      93.796861","      87.300980","    2950.626519"
"LOS ANGELES","Residential","   19562.554839","   20516.120867","   20663.267936","   20287.955921","   20432.526183","   20742.773777","   20611.287007","   21076.224921","   20064.618265","   19721.279522","   20590.377892","   21115.736666","   20536.164117","   20377.012793","   19711.007692","   19507.014130","   19056.036723","   17917.337912","   18212.579374","   18891.636154","   17665.120101","   17234.632799","   17578.661112","   16322.045682","   16823.629351","   16065.583395","   15759.083038","   16377.794989","   16310.884065","   16960.720058","  566691.667281"
"MADERA","Residential","     438.968992","     427.539581","     437.115345","     418.560126","     418.868140","     424.632948","     429.067921","     430.304184","     415.376062","     408.425050","     415.160176","     411.129655","     408.070551","     399.809053","     381.247881","     373.159609","     361.647828","     336.154775","     324.816593","     339.663850","     333.074208","     321.720353","     311.941573","     309.062289","     290.707813","     286.221168","     279.636988","     278.816591","     274.482487","     262.454632","   10947.836422"
"MARIN","Residential","     669.565552","     647.411703","     658.768076","     651.422731","     651.961002","     652.468169","     684.089848","     689.272331","     701.889790","     702.412945","     707.938110","     704.067834","     704.254152","     704.836829","     689.467421","     687.519100","     660.459622","     659.745146","     638.295989","     701.191633","     701.990392","     679.985197","     650.725465","     641.424276","     632.300683","     615.883459","     619.375851","     597.767275","     607.809672","     602.554328","   19916.854581"
